L05,かぞく,家族,family
L05,ひとりで,一人で,alone / by oneself
L05,せんしゅう,先週,last week
L05,こんしゅう,今週,this week
L05,らいしゅう,来週,next week
L05,せんげつ,先月,last month
L05,らいげつ,来月,next month
L05,こんげつ,今月,this month
L05,きょねん,去年,last year
L05,ことし,今年,this year
L05,らいねん,来年,next year
L05,～がつ,～月,#NAME?
L05,なんがつ,何月,what month
L05,いちにち,一日,-th day / -days
L05,なんにち,何日,which day of the month / how many days
L05,いつ,,when
L05,たんじょうび,誕生日,birthday
L05,ふつう,普通,local (train)
L05,きゅうこう,急行,rapid
L05,とっきゅう,特急,express
L05,つぎの,次の,next
L05,ありがとう ございました,,Thank you
L05,どう いたしまして,,You’re welcome./ Don’t mention it`
L05,～ばんせん,～番線,platform - / – th platform
L05,ついたち,１日,the first day of the month
L05,ふつか,2日,the second / two days
L05,みっか,3日,the third day / three days
L05,よっか,4日,fourth / four days
L05,いつか,5日,fifth / five days
L05,むいか,6日,sixth / six days
L05,なのか,7日,seventh / seven days
L05,ようか,8日,eighth / eight days
L05,ここのか,9日,ninth / nine days
L05,とおか,10日,tenth / ten days
L05,じゅうよっか,14日,fourteenth / fourteen days
L05,はつか,20日,twentieth / twenty days
L05,にじゅうよっか,24日,twenty-fourth / twenty-four days
Set,Word,Kanji,Meaning
L06,すいます,吸います,smoke
L06,たばこをすいます。,,smoke a cigarette
L06,のみます,飲みます,drink
L06,たべます,食べます,eat
L06,みます,見ます,see / look at / watch
L06,ききます,聞きます,hear / listen
L06,よみます,読みます,read
L06,かきます,書きます,write / draw / paint
L06,かいます,買います,buy
L06,とります,撮ります,take [a photo]
L06,しゃしんをとります。,写真を撮りす。,take [a photo]
L06,します,,do
L06,あいます,会います,meet
L06,ともだちにあいます。,友達に会いす。,meet [a friend]
L06,ごはん,ご飯,a meal / cooked rice
L06,あさごはん,朝ご飯,breakfast
L06,ひるごはん,昼ご飯,lunch
L06,ばんごはん,晩ご飯,supper
L06,パン,,bread
L06,たまご,卵,egg
L06,にく,肉,meat
L06,さかな,魚,fish
L06,やさい,野菜,vegetable
L06,くだもの,果物,fruit
L06,みず,水,water
L06,おちゃ,お茶,tea / green tea
L06,こうちゃ,紅茶,black tea
L06,ぎゅうにゅう,牛乳,milk
L06,ミルク,,milk
L06,ジュース,,juice
L06,ビール,,beer
L06,（お）さけ,お酒,alcohol / Japanese rice wine
L06,サッカー,,football / soccer
L06,テニス,,tennis
L06,CD,,CD
L06,ビデオ,,videotape / video deck
L06,なに,何,what
L06,それから,,after that / and then
L06,ちょっと,,a little while / a little bit
L06,みせ,店,store / shop
L06,レストラン,,restaurant
L06,てがみ,手紙,letter
L06,えいが,映画,movie
